starting_url,link_tree,degrees,href_count
"Eagle Point (punta sa Tinipong Bansa, Alaska, Aleutians West Census Area, lat 52,11, long -177,67) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,11
Aguada Higuera - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bungtod'], ['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,3
Pelecopsis papillii - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,10
"Independencia (lungsod sa Mehiko, Estado de Morelos) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Lanaw'], []]",-2,1
,"[['https://ceb.wikipedia.org/wiki/Tanom_nga_bulak'], ['https://ceb.wikipedia.org/wiki/Klase_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Microstictius naevius - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Tanom_nga_balili'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Lepiota coprophila - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bukid'], ['https://ceb.wikipedia.org/wiki/Bolkan'], []]",-2,2
"La Concha (lungsod sa Mehiko, Estado de Sinaloa, Escuinapa) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Tinipong_Bansa'], ['https://ceb.wikipedia.org/wiki/Ininggles'], ['https://ceb.wikipedia.org/wiki/Inglatera'], ['https://ceb.wikipedia.org/wiki/Hiniusang_Gingharian'], ['https://ceb.wikipedia.org/wiki/Iningles'], ['https://ceb.wikipedia.org/wiki/Inglatera']]",-1,6
"Kleppen (bungtod sa Noruwega, Hordaland Fylke, Bergen) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Bakukangon'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Rio do Viegas - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bakukangon'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Maja e Zhihovës - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Indonesya'], ['https://ceb.wikipedia.org/wiki/Inindonesyo'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Malayo'], ['https://ceb.wikipedia.org/wiki/Mga_pinulongang_Awstronesyo'], ['https://ceb.wikipedia.org/wiki/Sinugboanon'], ['https://ceb.wikipedia.org/wiki/Kinatsila'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Romanse'], ['https://ceb.wikipedia.org/wiki/Kinatsila']]",-1,8
Sallijuaq Islands - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Bakukangon'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
Boerhavia linearifolia - Wikipedia,"[['https://ceb.wikipedia.org/wiki/Tungaw'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
"Trap Run (suba sa Tinipong Bansa, West Virginia, Jackson County) - Wikipedia","[['https://ceb.wikipedia.org/wiki/Bakukangon'], ['https://ceb.wikipedia.org/wiki/Matang_(biyolohiya)'], ['https://ceb.wikipedia.org/wiki/Carolus_Linnaeus'], ['https://ceb.wikipedia.org/wiki/Suwesya'], ['https://ceb.wikipedia.org/wiki/Pinulongang_Sweko'], ['https://ceb.wikipedia.org/wiki/Pinulongan'], ['https://ceb.wikipedia.org/wiki/Sistema'], ['https://ceb.wikipedia.org/wiki/Suba_nga_anhianhi'], ['https://ceb.wikipedia.org/wiki/Suba'], ['https://ceb.wikipedia.org/wiki/Tubig'], ['https://ceb.wikipedia.org/wiki/Likido'], ['https://ceb.wikipedia.org/wiki/Hangin'], ['https://ceb.wikipedia.org/wiki/Gas'], ['https://ceb.wikipedia.org/wiki/Komyun'], ['https://ceb.wikipedia.org/wiki/Dibisyon_sa_pagdumala_(Pransiya)'], ['https://ceb.wikipedia.org/wiki/Pransiya'], ['https://ceb.wikipedia.org/wiki/Prinanses'], ['https://ceb.wikipedia.org/wiki/Pransiya']]",-1,18
